TOWN_ID,C_Name,T_Name,NFULLN,No,Address,case,Report_Time,disastertype0,Flood,Traffic,Landslide,disastertype,Time,Day,Hour2,situation,Processing1,Processing2,X,Y,Lon,Lat,geo
1000508,苗栗縣,大湖鄉,苗栗縣大湖鄉,886,苗栗縣大湖鄉內臺三線雙向封閉,1090-0,2009-8-10 06:48,其他,1,0,0,Flood,2009/08/09 18:12,2009/08/09,18:12,臺三線南湖二橋達警戒水位,"苗栗工務段封閉道路，臺三線133K*900 雙向封閉，由警察局現場管制指揮交通。
8/10  0550解除管制，恢復通車。",結案建議,236228.58,2702581.98,120.864189,24.429363,"24.429363,120.864189"
1000801,南投縣,南投市,南投縣南投市,551,小溪橋附近,678-0,2009-8-9 11:49,積水地區,1,0,0,Flood,2009/08/09 05:50,2009/08/09,05:50,水位暴漲，溢過堤防，積水約30公分,2009/08/09/10：00已恢復通車,結案建議,218566.99,2585837.72,120.692518,23.374958,"23.374958,120.692518"
1000802,南投縣,埔里鎮,南投縣埔里鎮,963,蜈蚣里榮光橋,899-1,2009-8-10 13:47,水利設施損壞,1,0,0,Flood,2009/08/09 18:26,2009/08/09,18:26,堤防破堤危機,"水位已退,無危險之虞",結案建議,0,0,0,0,"0,0"
1000802,南投縣,埔里鎮,南投縣埔里鎮,955,福興里大坑,895-1,2009-8-10 13:29,水利設施損壞,1,0,0,Flood,2009/08/09 18:18,2009/08/09,18:18,排洪道護岸破堤,已由埔里鎮公所搶修完成,結案建議,0,0,0,0,"0,0"
1000802,南投縣,埔里鎮,南投縣埔里鎮,953,蜈蚣里獅仔頭溪,898-1,2009-8-10 13:27,其他,1,0,0,Flood,2009/08/09 18:23,2009/08/09,18:23,蜈蚣里獅仔頭溪有瀑漲危機,水位已退無危險之虞,結案建議,0,0,0,0,"0,0"
1000804,南投縣,竹山鎮,南投縣竹山鎮,564,龍門大橋下游400公尺處,695-0,2009-8-9 12:20,其他,1,0,0,Flood,2009/08/09 12:17,2009/08/09,12:17,堤坊潰堤,已通知工務處前往處理中,處理中,251958.92,2677889.11,121.019285,24.206466,"24.206466,121.019285"
1000805,南投縣,集集鎮,南投縣集集鎮,2138,南投縣集集鎮臺16線11K處,1123-13,2009-8-13 15:52,人員失蹤,1,0,0,Flood,2009/08/09 16:44,2009/08/09,16:44,8月9日4時左右，臺16線11k處路基淘空，目前7車(CS-83**、62*-JC、86**-XY、MN-15**、33**-NY、N5-93**、HN-43**)、13人(10男、3女)，疑似遭洪水沖走,"1.9日由集集消防分隊調警消5人義消10人執行搜救。
2.10日計調派南投縣67人、彰化縣12人、雲林縣23人，總計102人執行搜救工作。
3.10日9時20分於欄河椻發現劉文裕(男、67年次)遺體。
4.車號8618-xyt車輛於10日12點24分尋獲。
5.迄10日18時已發現1具遺體、3部車輛(賓士車、另2部無法確認車號)
6.11日計調派南投縣116人、彰化縣14人、雲林縣19人，總計149人執行搜救工作。
7.11日9時27分於車輛落水處，尋獲車號HN-43**福特2000cc深紫色(車主：黃照益)，車內一男一女(姓名不詳)均已死亡。
8.車號C5-83**車體於11日11時25分尋獲。
9.車號62*-JC統一超商貨車於11日12時35分尋獲。
10.13日計調派消防28人、義消66人、民力團體計210人執行搜救工作。",處理中,228295.26,2636017.33,120.78695,23.828237,"23.828237,120.78695"
1000806,南投縣,名間鄉,南投縣名間鄉,900,臺3線名竹大橋,1102-0,2009-8-10 07:56,其他,1,0,0,Flood,2009/08/09 00:30,2009/08/09,00:30,溪水暴漲，有安全之虞,恢復通車,結案建議,195256.45,2596282.52,120.464118,23.468658,"23.468658,120.464118"
1000810,南投縣,國姓鄉,南投縣國姓鄉,965,投84線石門村通往北港村之港門橋,731-1,2009-8-10 13:55,積水地區,1,0,0,Flood,2009/08/09 13:55,2009/08/09,13:55,水位達警戒線,已於9日21時許恢復通車,結案建議,220136.75,2595462.18,120.707683,23.461897,"23.461897,120.707683"
1000811,南投縣,水里鄉,南投縣水里鄉,1034,水里鄉永興橋,732-1,2009-8-10 18:03,積水地區,1,0,0,Flood,2009/08/09 13:58,2009/08/09,13:58,水位達警戒線,已於10日17時恢復通車,結案建議,235300.01,2634603.17,120.855721,23.815547,"23.815547,120.855721"
