TOWN_ID,C_Name,T_Name,No,Time,Day,day2,Hour2,Hour,NFULLN,Flood,Traffic,Landslide,disastertype,situation,goods,Keywords,X,Y,Lon,Lat,geo
900702,連江縣,北竿鄉,369,2009/8/9 23:00,2009/8/9,0,23:00,0_23,連江縣北竿鄉,0,1,0,Traffic,上村圓環至午沙圓環因路燈倒塌目前禁止通行, ,禁止通行,172793.88,2564905,120.24585,23.18442,"23.18442,120.24585"
1000804,南投縣,竹山鎮,971,2009/8/11 00:00,2009/8/11,2,00:00,2_0,南投縣竹山鎮,0,0,1,Landslide,聯絡道路坍方下陷，車輛無法到達，手機也無法接通，已向附近分局、村里長查詢，但都沒有消息，有三個大人，三個小孩都無法聯絡上。,希望空警隊能看一下那裏的狀況，若有附近知道狀況的人也麻煩和我聯絡，謝謝。,坍方,217996.6,2628020.85,120.68604,23.75586,"23.75586,120.68604"
1000810,南投縣,國姓鄉,156,2009/8/9 14:00,2009/8/9,0,14:00,0_14,南投縣國姓鄉,1,0,0,Flood,溪水快淹到橋面上了, ,淹,172793.88,2564905,120.24585,23.18442,"23.18442,120.24585"
1000810,南投縣,國姓鄉,302,2009/8/9 21:00,2009/8/9,0,21:00,0_21,南投縣國姓鄉,0,1,0,Traffic,〈福興橋〉已封橋。〈國姓橋〉岌岌可危 ( 接中潭公路的主要對外橋梁 ), ,封橋,238657.15,2665584.57,120.88843,24.09532,"24.09532,120.88843"
1000811,南投縣,水里鄉,740,2009/8/10 16:00,2009/8/10,1,16:00,1_16,南投縣水里鄉,0,1,0,Traffic,"狀況緊急!!獨居老人且行動不便已經停電三天,周遭道路全部中斷,目前已經斷糧,無水無食物,誠心拜託仁人君子盡速支援!!!","食物,水,手電筒",道路、斷糧,235300.01,2634603.17,120.85572,23.81555,"23.81555,120.85572"
1000812,南投縣,信義鄉,342,2009/8/9 22:00,2009/8/9,0,22:00,0_22,南投縣信義鄉,1,0,0,Flood,"愛國村附近一處堤防已經破了,有潰堤之虞,擔心夜晚雨勢強大.溪水入侵危急居民安危,鄉公所已經撤離附近住戶至鄉公所內及其它高處避難,(我舅舅就住在那附近,接到他回報平安的電話,聽他轉述的)","因為已經撤離家園無法用市話連絡,手機又不通",潰堤,192169,2596300,120.4339,23.46871,"23.46871,120.4339"
1000812,南投縣,信義鄉,561,2009/8/10 11:00,2009/8/10,1,11:00,1_11,南投縣信義鄉,0,1,0,Traffic,"當地親人聽附近居民轉述,和社通往東埔的橋樑斷了,斷了那一條還不知道,還在打聽中", ,橋樑斷,162251.35,2571369.88,120.1425,23.24227,"23.24227,120.1425"
1000812,南投縣,信義鄉,620,2009/8/10 12:00,2009/8/10,1,12:00,1_12,南投縣信義鄉,0,0,1,Landslide,土石流已崩塌,直昇機救援,土石流,227398.43,2638587.12,120.77811,23.85143,"23.85143,120.77811"
1000812,南投縣,信義鄉,720,2009/8/10 15:00,2009/8/10,1,15:00,1_15,南投縣信義鄉,0,1,0,Traffic,道路交通中斷..斷水斷電好幾天了..居民好幾百人受困..希望相關單位能夠盡快提供物資..幫助村民度過難關,需要飲用水..及一些乾糧..手電筒...等一些民生必需品..,物資、交通中斷、受困,245844.64,2598243.5,120.95932,23.48728,"23.48728,120.95932"
1000812,南投縣,信義鄉,727,2009/8/10 15:00,2009/8/10,1,15:00,1_15,南投縣信義鄉,0,1,0,Traffic,"持續停電中,希望相關單位快點搶修,部分地區電話失聯, 多處道路中斷,食物供應不足,需要空投物資,糧食都快吃完了","食物,手電筒,棉被,水",物資、道路中斷、失聯,245844.64,2598243.5,120.95932,23.48728,"23.48728,120.95932"
